Distance,Throttle,Speed
4871.3324999999995,100.0,332.0
4889.684722222221,100.0,332.0
4904.440277777778,100.0,332.0
4937.640277777778,100.0,332.0
4963.384722222222,100.0,331.0
4978.187777777776,100.0,331.0
5000.1624999999985,100.0,331.0
5035.648333333333,0.0,291.0
5050.555833333332,0.0,267.0
5062.066944444443,0.0,259.0
5075.996944444443,1.0,252.0
5094.041388888888,7.0,232.0
5114.103888888889,19.0,225.0
5126.209722222222,31.0,219.0
5143.0875,77.0,217.0
5157.748333333333,100.0,219.0
5177.570555555555,100.0,223.0
5198.103888888889,100.0,231.0
5227.437222222222,100.0,240.0
5289.52611111111,100.0,254.0
5315.52611111111,100.0,260.0
5345.192777777777,100.0,267.0
5372.368055555555,100.0,271.0
5387.514166666667,100.0,274.0
5412.314166666666,100.0,279.0
5440.893333333333,100.0,285.0
5463.2908333333335,100.0,289.0
5479.513055555556,100.0,292.0
5505.646388888889,100.0,294.0
5532.224166666668,100.0,299.0
5562.4400000000005,100.0,303.0
5579.469166666668,100.0,305.0
5599.935833333334,100.0,307.0
5634.380277777779,100.0,310.0
5672.635833333335,100.0,313.0
5704.035833333334,100.0,314.0
5732.035833333333,100.0,315.0
5753.102500000001,100.0,316.0
